action_step,prediction,pre_right_tcp_to_contact0_m,post_right_tcp_to_contact0_m,pre_right_tcp_to_cup_center_m,post_right_tcp_to_cup_center_m,pre_cup_z_m,post_cup_z_m,pre_right_gripper_cmd,post_right_gripper_cmd,pre_contact_count,post_contact_count
1,1,0.17574822425958822,0.1747781914561675,0.258101627150461,0.2570587876117977,0.7399791479110718,0.7399791479110718,1.0,0.9722301959991455,0,0
2,1,0.1747781914561675,0.1746420037160561,0.2570587876117977,0.2568878778565237,0.7399791479110718,0.7399791479110718,0.9722301959991455,0.9427713751792908,0,0
3,1,0.1746420037160561,0.17472400532013024,0.2568878778565237,0.25702230041799445,0.7399791479110718,0.7399791479110718,0.9427713751792908,0.9127559661865234,0,0
4,2,0.17472400532013024,0.1744245963841789,0.25702230041799445,0.2566436992338183,0.7399791479110718,0.7399791479110718,0.9127559661865234,0.8858253955841064,0,0
5,2,0.1744245963841789,0.1746331807136577,0.2566436992338183,0.25687854312603187,0.7399791479110718,0.7399791479110718,0.8858253955841064,0.8557561635971069,0,0
6,2,0.1746331807136577,0.17395656156002856,0.25687854312603187,0.2561485078328149,0.7399791479110718,0.7399791479110718,0.8557561635971069,0.8254891633987427,0,0
7,3,0.17395656156002856,0.1728596621317729,0.2561485078328149,0.25493084044687186,0.7399791479110718,0.7399791479110718,0.8254891633987427,0.7964833974838257,0,0
8,3,0.1728596621317729,0.17341962170106115,0.25493084044687186,0.25556203519015425,0.7399791479110718,0.7399791479110718,0.7964833974838257,0.7664398550987244,0,0
9,3,0.17341962170106115,0.173494753840384,0.25556203519015425,0.2556520900829985,0.7399791479110718,0.7399791479110718,0.7664398550987244,0.73726886510849,0,0
10,4,0.173494753840384,0.17177291633007963,0.2556520900829985,0.2537831841964319,0.7399791479110718,0.7399791479110718,0.73726886510849,0.7080357074737549,0,0
11,4,0.17177291633007963,0.17130014300610685,0.2537831841964319,0.25326986620621345,0.7399791479110718,0.7399791479110718,0.7080357074737549,0.6782747507095337,0,0
12,4,0.17130014300610685,0.1720828096688746,0.25326986620621345,0.2541631358106147,0.7399791479110718,0.7399791479110718,0.6782747507095337,0.647962212562561,0,0
13,5,0.1720828096688746,0.17161313324666844,0.2541631358106147,0.2536635038712585,0.7399791479110718,0.7399791479110718,0.647962212562561,0.6436448097229004,0,0
14,5,0.17161313324666844,0.17162858393617278,0.2536635038712585,0.2536970531489961,0.7399791479110718,0.7399791479110718,0.6436448097229004,0.6395614147186279,0,0
15,5,0.17162858393617278,0.17115892268310737,0.2536970531489961,0.25320493170329117,0.7399791479110718,0.7399791479110718,0.6395614147186279,0.6380311250686646,0,0
16,6,0.17115892268310737,0.17221216482499205,0.25320493170329117,0.2544723792032084,0.7399791479110718,0.7399791479110718,0.6380311250686646,0.6348860263824463,0,0
17,6,0.17221216482499205,0.17274394457810385,0.2544723792032084,0.2552449794993056,0.7399791479110718,0.7399791479110718,0.6348860263824463,0.6340141296386719,0,0
18,6,0.17274394457810385,0.17323648506845857,0.2552449794993056,0.256047704074919,0.7399791479110718,0.7399791479110718,0.6340141296386719,0.6334776878356934,0,0
19,7,0.17323648506845857,0.17435872238191838,0.256047704074919,0.2576146019066954,0.7399791479110718,0.7399791479110718,0.6334776878356934,0.6363615393638611,0,0
20,7,0.17435872238191838,0.17435199171901342,0.2576146019066954,0.25806328074714513,0.7399791479110718,0.7399791479110718,0.6363615393638611,0.6360754370689392,0,0
21,7,0.17435199171901342,0.1750508635303548,0.25806328074714513,0.25943200966016683,0.7399791479110718,0.7399791479110718,0.6360754370689392,0.6356996297836304,0,0
22,8,0.1750508635303548,0.17551794481967578,0.25943200966016683,0.2607153067907517,0.7399791479110718,0.7399791479110718,0.6356996297836304,0.6416751742362976,0,0
