action_step,prediction,pre_right_tcp_to_contact0_m,post_right_tcp_to_contact0_m,pre_right_tcp_to_cup_center_m,post_right_tcp_to_cup_center_m,pre_cup_z_m,post_cup_z_m,pre_right_gripper_cmd,post_right_gripper_cmd,pre_contact_count,post_contact_count
1,1,0.2670410668844331,0.2668935072674656,0.3272132598044505,0.3270376153632206,0.7399791479110718,0.7399791479110718,1.0,1.0,0,0
2,1,0.2668935072674656,0.26683807832065853,0.3270376153632206,0.3269722242003913,0.7399791479110718,0.7399791479110718,1.0,0.974855899810791,0,0
3,1,0.26683807832065853,0.2667800310052478,0.3269722242003913,0.3269026674040609,0.7399791479110718,0.7399791479110718,0.974855899810791,0.9459705948829651,0,0
4,1,0.2667800310052478,0.26709020292430935,0.3269026674040609,0.3272701713076145,0.7399791479110718,0.7399791479110718,0.9459705948829651,0.9191850423812866,0,0
5,1,0.26709020292430935,0.26707949281514703,0.3272701713076145,0.3272577035811481,0.7399791479110718,0.7399791479110718,0.9191850423812866,0.89028400182724,0,0
6,1,0.26707949281514703,0.26719048591643296,0.3272577035811481,0.32738818950414383,0.7399791479110718,0.7399791479110718,0.89028400182724,0.8624976277351379,0,0
7,2,0.26719048591643296,0.26650998238804186,0.32738818950414383,0.3265499437562676,0.7399791479110718,0.7399791479110718,0.8624976277351379,0.8307567834854126,0,0
8,2,0.26650998238804186,0.2667882356766985,0.3265499437562676,0.3269124599930801,0.7399791479110718,0.7399791479110718,0.8307567834854126,0.8015521764755249,0,0
9,2,0.2667882356766985,0.2668688259937447,0.3269124599930801,0.3270343641084109,0.7399791479110718,0.7399791479110718,0.8015521764755249,0.7712140083312988,0,0
10,2,0.2668688259937447,0.2664691724985463,0.3270343641084109,0.3265309201667234,0.7399791479110718,0.7399791479110718,0.7712140083312988,0.7435731887817383,0,0
11,2,0.2664691724985463,0.26672147471268426,0.3265309201667234,0.3268648239115463,0.7399791479110718,0.7399791479110718,0.7435731887817383,0.7165618538856506,0,0
12,2,0.26672147471268426,0.26666666114694176,0.3268648239115463,0.32681213162992534,0.7399791479110718,0.7399791479110718,0.7165618538856506,0.6871395707130432,0,0
13,3,0.26666666114694176,0.26563011707824036,0.32681213162992534,0.3254889659762164,0.7399791479110718,0.7399791479110718,0.6871395707130432,0.6551468968391418,0,0
14,3,0.26563011707824036,0.265610103250266,0.3254889659762164,0.3254775009424842,0.7399791479110718,0.7399791479110718,0.6551468968391418,0.6333401799201965,0,0
15,3,0.265610103250266,0.2660080417178318,0.3254775009424842,0.3260123994226919,0.7399791479110718,0.7399791479110718,0.6333401799201965,0.628237247467041,0,0
16,3,0.2660080417178318,0.2662277417024904,0.3260123994226919,0.32634518101133936,0.7399791479110718,0.7399791479110718,0.628237247467041,0.6273293495178223,0,0
17,3,0.2662277417024904,0.2665148133153064,0.32634518101133936,0.32676821950188456,0.7399791479110718,0.7399791479110718,0.6273293495178223,0.6252040266990662,0,0
18,3,0.2665148133153064,0.2664044953294419,0.32676821950188456,0.32675055087532223,0.7399791479110718,0.7399791479110718,0.6252040266990662,0.6245111227035522,0,0
19,4,0.2664044953294419,0.267160579845432,0.32675055087532223,0.32786648874613955,0.7399791479110718,0.7399791479110718,0.6245111227035522,0.6237000823020935,0,0
20,4,0.267160579845432,0.26825816450496687,0.32786648874613955,0.32965740925025183,0.7399791479110718,0.7399791479110718,0.6237000823020935,0.624004065990448,0,0
21,4,0.26825816450496687,0.26946066740598557,0.32965740925025183,0.3317649601447441,0.7399791479110718,0.7399791479110718,0.624004065990448,0.6251546144485474,0,0
22,4,0.26946066740598557,0.2704962113896389,0.3317649601447441,0.33395248306220704,0.7399791479110718,0.7399791479110718,0.6251546144485474,0.6245888471603394,0,0
23,4,0.2704962113896389,0.27034754408297534,0.33395248306220704,0.33502554804353496,0.7399791479110718,0.7399791479110718,0.6245888471603394,0.6242522597312927,0,0
24,4,0.27034754408297534,0.2696219072186612,0.33502554804353496,0.33565183117504394,0.7399791479110718,0.7399791479110718,0.6242522597312927,0.6235233545303345,0,0
25,5,0.2696219072186612,0.2671114524008886,0.33565183117504394,0.3342097474681561,0.7399791479110718,0.7399791479110718,0.6235233545303345,0.6289546489715576,0,0
26,5,0.2671114524008886,0.26315115591094235,0.3342097474681561,0.3316515290963408,0.7399791479110718,0.7399791479110718,0.6289546489715576,0.6297401785850525,0,0
27,5,0.26315115591094235,0.25754382657948716,0.3316515290963408,0.32723951268384416,0.7399791479110718,0.7399791479110718,0.6297401785850525,0.6285240650177002,0,0
28,5,0.25754382657948716,0.25025848273896056,0.32723951268384416,0.32130249491756435,0.7399791479110718,0.7399791479110718,0.6285240650177002,0.6293059587478638,0,0
29,5,0.25025848273896056,0.24187884827421158,0.32130249491756435,0.3139732650362301,0.7399791479110718,0.7399791479110718,0.6293059587478638,0.6284346580505371,0,0
30,5,0.24187884827421158,0.23285698368225125,0.3139732650362301,0.3061048231527059,0.7399791479110718,0.7399791479110718,0.6284346580505371,0.6283557415008545,0,0
31,6,0.23285698368225125,0.22288952512991403,0.3061048231527059,0.29639103992995924,0.7399791479110718,0.7399791479110718,0.6283557415008545,0.6339295506477356,0,0
32,6,0.22288952512991403,0.21290907521723065,0.29639103992995924,0.2871882849800255,0.7399791479110718,0.7399791479110718,0.6339295506477356,0.6341232657432556,0,0
33,6,0.21290907521723065,0.20250813349999852,0.2871882849800255,0.2774949911108643,0.7399791479110718,0.7399791479110718,0.6341232657432556,0.6323726177215576,0,0
34,6,0.20250813349999852,0.19301136343545236,0.2774949911108643,0.26861733989860187,0.7399791479110718,0.7399791479110718,0.6323726177215576,0.6328004002571106,0,0
35,6,0.19301136343545236,0.18394135840671924,0.26861733989860187,0.26015774778051637,0.7399791479110718,0.7399791479110718,0.6328004002571106,0.6306062340736389,0,0
36,6,0.18394135840671924,0.17556716139984804,0.26015774778051637,0.25251192492112506,0.7399791479110718,0.7399791479110718,0.6306062340736389,0.6312193870544434,0,0
37,7,0.17556716139984804,0.16518205370599567,0.25251192492112506,0.24538255990952137,0.7399791479110718,0.7399791479110718,0.6312193870544434,0.6369852423667908,0,0
38,7,0.16518205370599567,0.15658450387458742,0.24538255990952137,0.23764522165865082,0.7399791479110718,0.7399791479110718,0.6369852423667908,0.6367038488388062,0,0
39,7,0.15658450387458742,0.148783083385117,0.23764522165865082,0.23071526340153845,0.7399791479110718,0.7399791479110718,0.6367038488388062,0.6346167325973511,0,0
40,7,0.148783083385117,0.1417558012325054,0.23071526340153845,0.2243202823614273,0.7399791479110718,0.7399791479110718,0.6346167325973511,0.6345267295837402,0,0
41,7,0.1417558012325054,0.13560433977842334,0.2243202823614273,0.2186172372229292,0.7399791479110718,0.7399791479110718,0.6345267295837402,0.632728099822998,0,0
42,7,0.13560433977842334,0.13083770672228018,0.2186172372229292,0.2143824381825713,0.7399791479110718,0.7399791479110718,0.632728099822998,0.6322188377380371,0,0
43,8,0.13083770672228018,0.12229684210671751,0.2143824381825713,0.20737327633326827,0.7399791479110718,0.7399791479110718,0.6322188377380371,0.6342583298683167,0,0
44,8,0.12229684210671751,0.1185473456639213,0.20737327633326827,0.20404657876475663,0.7399791479110718,0.7399791479110718,0.6342583298683167,0.6333537101745605,0,0
45,8,0.1185473456639213,0.1167972730423646,0.20404657876475663,0.20277993870830227,0.7399791479110718,0.7399791479110718,0.6333537101745605,0.6321500539779663,0,0
