episode,arm,start_index,end_index,cup_px_x,cup_px_y,blue_area_px,visibility,left_total_variation,right_total_variation
0,right,0,168,275.1175355450237,133.20094786729857,2110,visible,0.0,8.604814529418945
1,right,168,340,297.39130434782606,104.69994632313472,1863,visible,0.0,9.27029800415039
2,right,340,508,310.9027932960894,183.65139664804468,895,edge,0.0,8.868534088134766
3,right,508,687,302.66129032258067,154.29143492769745,1798,visible,0.0,10.239665985107422
4,left,687,854,83.00870901639344,120.91905737704919,1952,visible,8.897231101989746,0.0
5,right,854,1035,295.7562582345191,167.69565217391303,2277,visible,0.0,10.548624992370605
6,left,1035,1207,38.8445434298441,149.1216035634744,2245,visible,9.475784301757812,0.0
7,left,1207,1377,69.60344026034403,147.71455137145514,2151,visible,8.842863082885742,0.0
8,right,1377,1550,281.1030456852792,112.53857868020305,1970,visible,0.0,10.15251350402832
9,right,1550,1721,309.9683995922528,118.19775739041795,981,edge,0.0,8.864602088928223
10,left,1721,1897,83.15481352992194,173.1084128360798,2306,visible,10.218645095825195,0.0
11,right,1897,2070,310.4654427645788,117.81425485961122,926,edge,0.0,9.226252555847168
12,left,2070,2256,47.17922948073702,90.61194863204913,1791,visible,12.756071090698242,0.0
13,right,2256,2437,295.56702025072326,131.79508196721312,2074,visible,0.0,10.630239486694336
14,right,2437,2609,310.273185483871,180.04939516129033,992,edge,0.0,9.139080047607422
15,left,2609,2774,48.94865810968495,194.03811746402178,2571,visible,8.503935813903809,0.0
16,left,2774,2942,42.10735294117647,122.54705882352941,2040,visible,8.5955171585083,0.0
17,right,2942,3120,295.04105263157896,101.51263157894736,1900,visible,0.0,10.976057052612305
18,left,3120,3285,81.5614194722475,157.67106460418563,2198,visible,8.11495590209961,0.0
19,left,3285,3454,86.90485748695303,198.44359694901647,2491,visible,8.996585845947266,0.0
20,left,3454,3623,91.60031931878659,111.85843533794572,1879,visible,9.16754150390625,0.0
21,left,3623,3807,84.40489749430525,92.23974943052391,1756,visible,11.939355850219727,0.0
22,right,3807,3978,284.815879201169,122.60496833901607,2053,visible,0.0,9.259655952453613
23,left,3978,4143,62.535553555355534,154.024302430243,2222,visible,7.843355178833008,0.0
24,right,4143,4319,291.95396825396824,97.57460317460317,1890,visible,0.0,10.001150131225586
25,left,4319,4485,75.67417605340009,180.9002920317063,2397,visible,8.466975212097168,0.0
26,right,4485,4653,262.7462900909526,133.7879368118717,2089,visible,0.0,8.920833587646484
27,left,4653,4819,39.8063492063492,193.38650793650794,2520,visible,8.550651550292969,0.0
28,right,4819,4992,308.62280701754383,118.1078947368421,1140,edge,0.0,9.455151557922363
29,right,4992,5180,315.40845070422534,149.95422535211267,284,edge,0.0,12.088376998901367
30,right,5180,5353,312.5402124430956,112.74810318664643,659,edge,0.0,9.525611877441406
31,right,5353,5526,310.2236286919831,114.55696202531645,948,edge,0.0,9.443228721618652
32,right,5526,5696,280.1256569517439,128.97467749641663,2093,visible,0.0,9.892738342285156
33,left,5696,5865,70.99537275064267,116.9624678663239,1945,visible,9.51472282409668,0.0
34,left,5865,6034,81.52982620948802,146.82433067167685,2129,visible,8.175751686096191,0.0
35,left,6034,6206,56.95473041709054,116.18209562563581,1966,visible,9.583229064941406,0.0
36,right,6206,6377,300.5485278080698,125.95201744820065,1834,visible,0.0,9.47688102722168
37,left,6377,6549,35.768967205090554,122.93685756240822,2043,visible,9.404991149902344,0.0
38,left,6549,6719,91.53075749872903,125.11438739196747,1967,visible,9.14352035522461,0.0
39,right,6719,6886,285.5156950672646,174.53730126375865,2453,visible,0.0,8.59984016418457
40,right,6886,7069,293.7613787008396,153.73619089703934,2263,visible,0.0,10.953363418579102
41,right,7069,7247,297.233152173913,99.33043478260869,1840,visible,0.0,10.641819953918457
42,left,7247,7419,91.97639034627493,116.67261280167891,1906,visible,9.569646835327148,0.0
43,right,7419,7583,300.35288414929715,181.75666505089674,2063,visible,0.0,7.745415687561035
44,right,7583,7752,315.2551724137931,185.5655172413793,290,edge,0.0,8.520769119262695
45,left,7752,7923,25.919103313840157,119.58235867446393,2052,visible,9.15170955657959,0.0
46,right,7923,8105,293.8503978779841,98.09867374005304,1885,visible,0.0,10.468698501586914
47,right,8105,8276,297.2431740614334,194.76066552901023,2344,visible,0.0,8.722763061523438
48,left,8276,8445,37.15791720017072,183.68288518992745,2343,visible,8.467284202575684,0.0
49,right,8445,8620,307.2486360093531,118.21901792673421,1283,edge,0.0,10.015625953674316
